ct_disease_raw,match_status,mapped_pubtator_label,mapped_pubtator_id
"""Attention Deficit Hyperactivity Disorder""",unmatched,,
#39,unmatched,,
1. Major Depressive Disorder,unmatched,,
16)(p13,unmatched,,
16P11.2 Deletion Syndrome,matched_exact,16p11.2 Deletion Syndrome,@DISEASE_16p11.2_Deletion_Syndrome
16s rRNA,unmatched,,
17)(q22,unmatched,,
18F-FAPI PET/CT Examination,unmatched,,
2 Drugs Are Statin and SGLT2i,unmatched,,
2019 Novel Coronavirus,unmatched,,
2019 Novel Coronavirus Disease,unmatched,,
2019 Novel Coronavirus Infection,unmatched,,
2019-nCoV Disease,unmatched,,
2019-nCoV Infection,unmatched,,
21)(q22,unmatched,,
22)(q34.1,unmatched,,
22Q11 Deletion,unmatched,,
22Q11 Deletion Syndrome,unmatched,,
25-Hydroxyvitamin D Concentration,unmatched,,
"25-Hydroxyvitamin D3 Deficiency, Selective",unmatched,,
25-hydroxyvitamin D Concentration (Vitamin D Status),unmatched,,
30 Healthy People,unmatched,,
480 µmol/L),unmatched,,
A Feasibility Study on Hypertensive Heart Failure Treatment,unmatched,,
AAT Deficiency,unmatched,,
AATD,unmatched,,
ACE Inhibitor,unmatched,,
ACL,unmatched,,
ACL - Anterior Cruciate Ligament Rupture,unmatched,,
ACL Injuries,unmatched,,
ACL Injury,unmatched,,
ACL Reconstruction,unmatched,,
ACL Surgery,unmatched,,
ACL Tear,unmatched,,
ACNE VULGARIS,ambiguous,,
ACOS (Fixed Airflow Obstruction and Elevated Eosinophils),unmatched,,
ACS (Acute Coronary Syndrome),unmatched,,
ACS - Acute Coronary Syndrome,unmatched,,
ACTH,unmatched,,
ACUTE SINUSITIS,unmatched,,
AD,unmatched,,
ADD,unmatched,,
ADHD,unmatched,,
ADHD - Combined Type,unmatched,,
ADHD NOS,unmatched,,
ADHD Predominantly Hyperactivity Type,unmatched,,
ADHD Predominantly Inattentive Type,unmatched,,
ADHD Specifically With Executive Function Impairment,unmatched,,
ADHD or ADHD Traits,unmatched,,
ADHD with Sleep Onset Insomnia,unmatched,,
"ADHD, ADD",unmatched,,
"ADHD, Predominantly Hyperactive - Impulsive",unmatched,,
"ADHD, Predominantly Inattentive Type",unmatched,,
ADHD-add,unmatched,,
ADHD-not Other Specified,unmatched,,
ADHF,unmatched,,
ADPKD,unmatched,,
AFib,unmatched,,
AGA,unmatched,,
AIDS,unmatched,,
